Code,Name,Status,PSABDescription,ChartType,ChartAccountType,ParentObjectCode,SummaryLine,IsBudgetable,ActualsPostable,RequiresJobClass,AcceptsFTE,UsesDependentCharterTransfer,NCESReportingRequired,AllowsNegative,NotInUse
45000,Other Financing Sources,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,Yes,No,No
45100,Issuance of Bonds,Active,"Used to record the face amount of the bonds that are issued. Short-term debt proceeds should not be classified as revenue. When a school district issues short-term debt (debt with duration of less than 12 months) that is to be repaid from governmental funds, a liability (notes payable) should be recorded in the balance sheet of the fund responsible for repayment of the debt. Separate accounts have been established for the 45100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,45000,No,No,No,No,No,No,No,No,No
45110,Sale of Bonds,Active,Used to record the face amount of bonds sold. Exclude premiums or accrued interest from the sale of such bonds.,Uniform FY27,Revenue,45100,No,Yes,Yes,No,No,No,Yes,No,No
45114,Special Revenue Bond Proceeds,Active,"EXPENDITURE OBJECTS OVERVIEW The primary objective of expenditure objects is to maintain information on the article purchased or the service obtained. The first digit defines the general object category. The last three digits define the major object more specifically. On the modified accrual basis of accounting, expenditures are generally recognized when an event or transaction is expected to draw on current, spendable resources within the reporting fiscal period. For purposes of preparing the year-end financial statements and inclusion in the annual audit, accounts payable are to be recognized. Exchanges of cash for other current assets such as the investment of cash in United States bonds and the repayment of inter-fund loans shall not be considered expenditures. Governmental Funds - Expenditures: Expenditure classification is based primarily on the period the expenditures are expected to benefit. There are four major character classifications: current, capital outlay, debt service, and inter-governmental. The current classification represents benefits for the current period; capital outlays represent benefits for the current and future periods; and debt service is presumably for prior, current and future benefits. Inter-Governmental expenditures represent transfers of resources to another governmental unit outside the reporting entity. Proprietary Funds - Expenses: Expenses of proprietary funds also should be classified in a logical manner consistent with industry practices and standards. Emphasis should be placed on displaying a cost of sales/services amount and the appropriate display of operating and non-operating expenses. For Expenditure accounts the first character is always 5. The second digit refers to the ""Expenditure type"". The major expenditure types are as follows:",Uniform FY27,Revenue,45100,No,Yes,Yes,No,No,No,Yes,No,No
45120,Premium or Discount on the Issuance of Bonds,Active,Proceeds from that portion of the sale price of bonds in excess of or below their par value. The premium or discount represents an adjustment of the interest rate and will be amortized using account 58340 (Amortization of Premium and Discount on Issuance of Bonds). Also includes any accrued interest received at the time of sale of the bonds.,Uniform FY27,Revenue,45100,No,Yes,Yes,No,No,No,No,No,No
45300,Proceeds From the Disposal of Real or Personal Property,Active,"Proceeds from the disposal of school property or compensation for the loss of real or personal property. Any gain or loss on the disposal of property for Proprietary or Fiduciary funds is recorded in account 41930 (Gains or Losses on the Sale of Capital Assets). Account 45300 should be used only for proceeds from the disposal of assets that do not have significant value. The reporting of major asset sales should be recorded using account 46300 (Special Items). Separate accounts have been established for the 45300 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,45000,No,No,No,No,No,No,No,No,No
45303,"Sale of Real Property (>=$25,000) or Equipment (>=$5,000)",Active,"Proceeds from the sale of real property of $25,000 or more or property/equipment of $5,000 or more. Approval by the PED is required prior to the sale.",Uniform FY27,Revenue,45300,No,Yes,Yes,No,No,No,No,No,No
45304,"Sale of Personal Property (<$25,000) or Equipment (<$5,000)",Active,"Proceeds from the sale of property under $25,000 and/or equipment under $5,000.",Uniform FY27,Revenue,45300,No,Yes,Yes,No,No,No,No,No,No
46000,Other Items,Active,"The third digit generally functions as a header or description for the detail accounts to follow. The fourth and fifth digits allow for a further breakdown of the revenue account. Any questions regarding the proper classification of revenue may be referred to the School Budget and Financial Analysis Bureau for interpretation. Note: Codes that are necessary for the NCES reporting are noted with an asterisk (*) and are shaded. Following the description of the Revenue Objects, a listing is provided of the required NCES reporting codes.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,No,No,No
46003,Deferred Sick Leave Accumulation,Active,The accumulated amount of unused sick leave to be transferred into an unused sick leave pool.,Uniform FY27,Revenue,46000,No,Yes,Yes,No,No,No,No,No,No
46004,Donated Commodities,Active,The value of items of food donated by the state or federal government for the Food Services program.,Uniform FY27,Revenue,46000,No,Yes,Yes,No,No,No,No,No,No
