Code,Name,Status,PSABDescription,ChartType,ParentJobClassCode,ParentType,IsLicensed,JobClassCategory,StaffTitlesReportTitle,SummaryLine,IsBudgetable,ActualsPostable,SupportsFTE
1215,Registered Nurses,Active,Licensed nurses employed by the school district. This does not include nurses on other professional service contracts,Uniform FY27,,No,Yes,Other T & E,Registered Nurses(1215),No,Yes,Yes,Yes
1216,Health Assistants,Active,Full-time or part-time health assistants.,Uniform FY27,,No,No,Instructional & Other Assistants,Secretarial/Clerical/ Technical Assistants(1217),No,Yes,Yes,Yes
1217,Secretarial/Clerical/Technical Assistants,Active,"Secretaries, receptionists, clerks, data entry clerks, system analysts, work-study students, and other related employees.",Uniform FY27,,No,No,Secretary/Clerical/Support,School/Student Support & Duty Personnel(1218 & 1219),No,Yes,Yes,Yes
1218,School/Student Support,Active,"Attendance workers or other employees who bring home, school, and community together in solving the students problems in order to improve attendance.",Uniform FY27,,No,No,Instructional & Other Assistants,Special Ed Assistant (Non-Instructional)(1319),No,Yes,Yes,Yes
1219,Duty Personnel,Active,"Personnel for lunchroom, hallway, playground, or bus duty.",Uniform FY27,,No,No,Instructional & Other Assistants,Special Ed Assistant (Non-Instructional)(1319),No,Yes,Yes,Yes
1220,Business Office Support,Active,"Business support staff includes employees for fiscal services, budgeting, payroll, financial accounting, internal auditing, and purchasing. This excludes the Associate Superintendent for Finance and Business and Business Manager.",Uniform FY27,,No,No,Secretary/Clerical/Support,Athletics & Activities(1618 & 1624),No,Yes,Yes,Yes
1311,Diagnosticians,Active,(NOVA Position Code 87).,Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1312,Speech Therapists,Active,"(NOVA Position Codes 26, 93).",Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1313,Occupational Therapists,Active,"(NOVA Position Codes 85, 89).",Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1314,Physical/Recreational Therapists,Active,Includes recreational and physical therapists.,Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1315,Psychologists/Counselors,Active,Includes all licensed psychologists and other counselors.,Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1316,Audiologists,Active,,Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1317,Interpreters,Active,,Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1318,Specialists,Active,"Includes special education related specialists, orientation and mobility specialists.",Uniform FY27,,No,Yes,Other T & E,"Special Ed. Support(1311, 1312, 1313, 1314,1315,1316, 1317 & 1318)",No,Yes,Yes,Yes
1319,Special Ed Assistants (Non-Instructional),Active,"Contracted personnel who assist special education students. Includes individuals, other than instructional aides, who assist therapists working with special education students or who assist special education students in other ways (e.g. bus assistants).",Uniform FY27,,No,No,Instructional & Other Assistants,Bus Drivers & Crosswalk Guards(1622 & 1623),No,Yes,Yes,Yes
1411,Teachers-Grades 1-12,Active,"Teaching services rendered to students enrolled during the regular school term in grades 1-12. If special program stipends/increments are approved, add to contract salary and treat as any other salary item.",Uniform FY27,,No,Yes,Teachers,"Teachers(1411, 1412, 1413, 1414, 1415 & 1416)",No,Yes,Yes,Yes
1412,Teachers- Special Education,Active,Teaching personnel assigned to Special Education programs during the regular school term.,Uniform FY27,,No,Yes,Teachers,"Teachers(1411, 1412, 1413, 1414, 1415 & 1416)",No,Yes,Yes,Yes
1413,Teachers-Early Childhood Ed,Active,Teaching personnel assigned to Early Childhood Education (kindergarten) programs during the regular school term.,Uniform FY27,,No,Yes,Teachers,"Teachers(1411, 1412, 1413, 1414, 1415 & 1416)",No,Yes,Yes,Yes
1414,Teachers-Preschool (exclude Special Ed),Active,Teaching personnel assigned to childcare and preschool programs.,Uniform FY27,,No,Yes,Teachers,"Teachers(1411, 1412, 1413, 1414, 1415 & 1416)",No,Yes,Yes,Yes
1415,Teachers-Vocational and Technical,Active,Teaching personnel assigned to programs that prepare students to meet challenging academic standards as well as industry skill standards while preparing students for broad-based careers and further education beyond high school. Activities may be delivered through traditional comprehensive and vocational-technical high schools or recognized charter schools. (See description of Program 3000 (Vocational and Technical Programs) above for a description of the types of activities considered vocational/technical).,Uniform FY27,,No,Yes,Teachers,"Teachers(1411, 1412, 1413, 1414, 1415 & 1416)",No,Yes,Yes,Yes
