Code,Name,Status,PSABDescription,ParentCategoryName,ParentCategoryDescription,ChartType,FundType,ParentFundCode,ParentType,IsGrant,GrantName,SummaryLine,IsBudgetable,ActualsPostable,IsReimbursable,RequiresApprovals,SupportsAssessedValuations,RevObjectCurrYear,RevObjectPriorYear,RequiresProjectNumber,UsesDependentCharterXfer,PEDZeroOut,NotInUse
24124,Title I 1003g Grant,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24124 Title I 1003g Grant,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24125,Title I Family Literacy IASA,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24126,Learn & Services (CNCS),Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24127,Migrant Student Information Exchange,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24128,iteachnm,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24129,Partnerships in Char Ed Pilot,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24130,CDC Healthy Schools,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24130 CDC Healthy Schools,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24131,Striving Readers Comprehensive Literacy,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24132,"RAMS (Reading, Achievement, Math & School Culture)",Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24132 NM Results Plan (Title 1 Schools),Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24133,Enhancing Ed Thru Tech- (E2T2-F),Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
